PPID,Type,Familiarity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
190716FKEE1,Familiarity,VeryUnfamiliar,61,421,901,1081,1141,1201,1321,,,,,,,,,,,,,,,,,
190716FKEE1,Familiarity,Unfamiliar,1,121,241,301,541,1021,1261,1381,,,,,,,,,,,,,,,,
190716FKEE1,Familiarity,Familiar,361,,,,,,,,,,,,,,,,,,,,,,,
190716FKEE1,Familiarity,VeryFamiliar,181,481,601,661,721,781,841,961,,,,,,,,,,,,,,,,
190716FKEE3,Familiarity,,1,61,121,181,241,301,361,421,481,541,601,661,721,781,841,901,961,1021,1081,1141,1201,1261,1321,1381
190717JSCH1,Familiarity,VeryUnfamiliar,1,61,121,241,301,361,421,481,541,601,661,721,781,961,1021,1141,1201,1321,,,,,,
190717JSCH1,Familiarity,Unfamiliar,901,1261,,,,,,,,,,,,,,,,,,,,,,
190717JSCH1,Familiarity,VeryFamiliar,181,841,1081,1381,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Familiarity,VeryUnfamiliar,181,241,421,601,661,781,841,901,961,1021,1081,1141,1201,1321,1381,,,,,,,,,
190717JSCH3,Familiarity,Unfamiliar,121,,,,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Familiarity,Familiar,61,,,,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Familiarity,VeryFamiliar,1,301,361,481,541,721,1261,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,VeryUnfamiliar,181,241,361,,,,,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,Unfamiliar,1,301,481,541,721,781,1201,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,Familiar,421,661,841,961,1141,1321,,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,VeryFamiliar,61,121,601,901,1021,1081,1261,1381,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,VeryUnfamiliar,241,541,601,781,841,901,1381,,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,Unfamiliar,181,361,421,1141,1261,1321,,,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,Familiar,61,481,1021,,,,,,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,VeryFamiliar,1,121,301,661,721,961,1081,1201,,,,,,,,,,,,,,,,
190904GHER1,Familiarity,VeryUnfamiliar,1021,1081,1201,1261,,,,,,,,,,,,,,,,,,,,
190904GHER1,Familiarity,Unfamiliar,61,121,181,241,301,361,481,541,601,661,901,961,1141,1381,,,,,,,,,,
190904GHER1,Familiarity,Familiar,1,721,781,841,1321,,,,,,,,,,,,,,,,,,,
190904GHER1,Familiarity,VeryFamiliar,421,,,,,,,,,,,,,,,,,,,,,,,
190904GHER3,Familiarity,VeryUnfamiliar,1,61,241,301,421,541,661,721,781,841,961,1021,1141,1201,1261,,,,,,,,,
190904GHER3,Familiarity,Familiar,361,,,,,,,,,,,,,,,,,,,,,,,
190904GHER3,Familiarity,VeryFamiliar,121,181,481,601,901,1081,1321,1381,,,,,,,,,,,,,,,,
191011LDIR1,Familiarity,VeryUnfamiliar,61,121,241,301,361,481,541,721,781,841,901,961,1081,1201,1321,,,,,,,,,
191011LDIR1,Familiarity,Unfamiliar,181,,,,,,,,,,,,,,,,,,,,,,,
191011LDIR1,Familiarity,Familiar,601,,,,,,,,,,,,,,,,,,,,,,,
191011LDIR1,Familiarity,VeryFamiliar,1,421,661,1021,1141,1261,1381,,,,,,,,,,,,,,,,,
191011LDIR3,Familiarity,VeryUnfamiliar,1,181,241,301,421,481,541,601,661,781,841,901,1081,1141,1381,,,,,,,,,
191011LDIR3,Familiarity,Familiar,1021,1261,,,,,,,,,,,,,,,,,,,,,,
191011LDIR3,Familiarity,VeryFamiliar,61,121,361,721,961,1201,1321,,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,VeryUnfamiliar,1,61,121,181,241,301,361,961,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,Unfamiliar,1081,1261,1381,,,,,,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,Familiar,481,541,601,721,901,1021,1201,,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,VeryFamiliar,421,661,781,841,1141,1321,,,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,VeryUnfamiliar,1,61,121,841,901,1141,1261,1381,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,Unfamiliar,541,601,721,781,1201,,,,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,Familiar,301,421,661,1021,1321,,,,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,VeryFamiliar,181,241,361,481,961,1081,,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,VeryUnfamiliar,1,181,301,481,601,1321,1381,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,Unfamiliar,61,361,421,541,781,,,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,Familiar,661,721,1021,1081,1201,1261,,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,VeryFamiliar,121,241,841,901,961,1141,,,,,,,,,,,,,,,,,,
191114CWEI3,Familiarity,VeryUnfamiliar,61,421,481,601,841,1021,1201,1261,1321,,,,,,,,,,,,,,,
191114CWEI3,Familiarity,Unfamiliar,121,541,,,,,,,,,,,,,,,,,,,,,,
191114CWEI3,Familiarity,Familiar,181,361,661,721,961,1081,1381,,,,,,,,,,,,,,,,,
191114CWEI3,Familiarity,VeryFamiliar,1,241,301,781,901,1141,,,,,,,,,,,,,,,,,,
191204MBLO1,Familiarity,VeryUnfamiliar,61,541,661,901,1141,1321,,,,,,,,,,,,,,,,,,
191204MBLO1,Familiarity,Unfamiliar,121,301,421,721,841,961,1201,1261,,,,,,,,,,,,,,,,
191204MBLO1,Familiarity,Familiar,361,601,,,,,,,,,,,,,,,,,,,,,,
191204MBLO1,Familiarity,VeryFamiliar,1,181,241,481,781,1021,1081,1381,,,,,,,,,,,,,,,,
191204MBLO3,Familiarity,VeryUnfamiliar,301,841,,,,,,,,,,,,,,,,,,,,,,
191204MBLO3,Familiarity,Unfamiliar,61,121,181,481,541,601,901,961,1021,1141,1201,,,,,,,,,,,,,
191204MBLO3,Familiarity,Familiar,241,781,1081,,,,,,,,,,,,,,,,,,,,,
191204MBLO3,Familiarity,VeryFamiliar,1,361,421,661,721,1261,1321,1381,,,,,,,,,,,,,,,,
200115EROS1,Familiarity,VeryUnfamiliar,1,121,181,241,301,421,481,541,601,721,841,1021,1321,,,,,,,,,,,
200115EROS1,Familiarity,Unfamiliar,781,901,961,,,,,,,,,,,,,,,,,,,,,
200115EROS1,Familiarity,VeryFamiliar,61,361,661,1081,1141,1201,1261,1381,,,,,,,,,,,,,,,,
200115EROS3,Familiarity,VeryUnfamiliar,61,121,421,481,541,601,661,721,781,841,961,1021,1141,1201,1261,,,,,,,,,
200115EROS3,Familiarity,Unfamiliar,1,,,,,,,,,,,,,,,,,,,,,,,
200115EROS3,Familiarity,VeryFamiliar,181,241,301,361,901,1081,1321,1381,,,,,,,,,,,,,,,,
200116TCIE1,Familiarity,VeryUnfamiliar,61,301,601,961,1141,,,,,,,,,,,,,,,,,,,
200116TCIE1,Familiarity,Unfamiliar,841,,,,,,,,,,,,,,,,,,,,,,,
200116TCIE1,Familiarity,Familiar,1,121,181,361,721,781,1021,1201,1321,1381,,,,,,,,,,,,,,
200116TCIE1,Familiarity,VeryFamiliar,241,421,481,541,661,901,1081,1261,,,,,,,,,,,,,,,,
200116TCIE3,Familiarity,VeryUnfamiliar,1,61,121,241,301,361,421,601,841,1021,1081,,,,,,,,,,,,,
200116TCIE3,Familiarity,Unfamiliar,1261,,,,,,,,,,,,,,,,,,,,,,,
200116TCIE3,Familiarity,Familiar,481,541,661,781,,,,,,,,,,,,,,,,,,,,
200116TCIE3,Familiarity,VeryFamiliar,181,721,901,961,1141,1201,1321,1381,,,,,,,,,,,,,,,,
200123GCAS1,Familiarity,VeryUnfamiliar,241,361,541,841,901,1321,,,,,,,,,,,,,,,,,,
200123GCAS1,Familiarity,Unfamiliar,661,1081,1141,1201,,,,,,,,,,,,,,,,,,,,
200123GCAS1,Familiarity,Familiar,301,961,1021,1381,,,,,,,,,,,,,,,,,,,,
200123GCAS1,Familiarity,VeryFamiliar,1,61,121,181,421,481,601,721,781,1261,,,,,,,,,,,,,,
200127DFAI1,Familiarity,VeryUnfamiliar,61,121,181,241,361,421,541,601,661,781,841,901,1021,1201,1261,,,,,,,,,
200127DFAI1,Familiarity,Unfamiliar,301,,,,,,,,,,,,,,,,,,,,,,,
200127DFAI1,Familiarity,VeryFamiliar,1,481,721,961,1081,1141,1321,1381,,,,,,,,,,,,,,,,
200127DFAI3,Familiarity,VeryUnfamiliar,1,61,361,421,481,541,1021,1081,1201,1321,1381,,,,,,,,,,,,,
200127DFAI3,Familiarity,Unfamiliar,181,961,,,,,,,,,,,,,,,,,,,,,,
200127DFAI3,Familiarity,Familiar,241,601,,,,,,,,,,,,,,,,,,,,,,
200127DFAI3,Familiarity,VeryFamiliar,121,301,661,721,781,841,901,1141,1261,,,,,,,,,,,,,,,
200204JKAY1,Familiarity,VeryUnfamiliar,1,181,301,781,1081,,,,,,,,,,,,,,,,,,,
200204JKAY1,Familiarity,Unfamiliar,121,241,421,1321,,,,,,,,,,,,,,,,,,,,
200204JKAY1,Familiarity,Familiar,361,481,541,661,901,1021,1141,1201,,,,,,,,,,,,,,,,
200204JKAY1,Familiarity,VeryFamiliar,61,601,721,961,1261,1381,,,,,,,,,,,,,,,,,,
200204JKAY1,Familiarity,,841,,,,,,,,,,,,,,,,,,,,,,,
200211DCAT1,Familiarity,VeryUnfamiliar,541,601,721,1321,,,,,,,,,,,,,,,,,,,,
200211DCAT1,Familiarity,Unfamiliar,1,121,181,361,481,781,1141,1261,,,,,,,,,,,,,,,,
200211DCAT1,Familiarity,Familiar,421,841,1021,,,,,,,,,,,,,,,,,,,,,
200211DCAT1,Familiarity,VeryFamiliar,61,241,301,661,901,961,1081,1201,1381,,,,,,,,,,,,,,,
200211DCAT3,Familiarity,VeryUnfamiliar,1141,1201,1261,1321,,,,,,,,,,,,,,,,,,,,
200211DCAT3,Familiarity,Unfamiliar,1,121,601,841,901,1081,1381,,,,,,,,,,,,,,,,,
200211DCAT3,Familiarity,Familiar,241,1021,,,,,,,,,,,,,,,,,,,,,,
200211DCAT3,Familiarity,VeryFamiliar,61,181,301,361,421,481,541,661,721,781,961,,,,,,,,,,,,,
200213LOLE1,Familiarity,VeryUnfamiliar,1,121,181,301,361,541,601,901,1081,1141,1381,,,,,,,,,,,,,
200213LOLE1,Familiarity,Unfamiliar,781,1021,,,,,,,,,,,,,,,,,,,,,,
200213LOLE1,Familiarity,Familiar,661,961,1261,1321,,,,,,,,,,,,,,,,,,,,
200213LOLE1,Familiarity,VeryFamiliar,61,241,481,721,841,1201,,,,,,,,,,,,,,,,,,
200213LOLE1,Familiarity,,421,,,,,,,,,,,,,,,,,,,,,,,
201210SCAE1,Familiarity,VeryUnfamiliar,1,61,241,301,361,481,601,961,1021,1321,,,,,,,,,,,,,,
201210SCAE1,Familiarity,Unfamiliar,421,901,1381,,,,,,,,,,,,,,,,,,,,,
201210SCAE1,Familiarity,Familiar,541,661,721,1141,,,,,,,,,,,,,,,,,,,,
201210SCAE1,Familiarity,VeryFamiliar,121,181,781,841,1081,1201,1261,,,,,,,,,,,,,,,,,
201210SCAE3,Familiarity,VeryUnfamiliar,61,121,301,601,661,781,841,961,1201,,,,,,,,,,,,,,,
201210SCAE3,Familiarity,Unfamiliar,481,541,721,,,,,,,,,,,,,,,,,,,,,
201210SCAE3,Familiarity,Familiar,1,901,1081,1141,,,,,,,,,,,,,,,,,,,,
201210SCAE3,Familiarity,VeryFamiliar,181,241,361,421,1261,1321,1381,,,,,,,,,,,,,,,,,
201210SCAE3,Familiarity,,1021,,,,,,,,,,,,,,,,,,,,,,,
201216EHER1,Familiarity,VeryUnfamiliar,1,241,301,361,421,481,541,841,961,1081,1201,1381,,,,,,,,,,,,
201216EHER1,Familiarity,Unfamiliar,61,121,601,1321,,,,,,,,,,,,,,,,,,,,
201216EHER1,Familiarity,VeryFamiliar,181,661,721,781,901,1021,1141,1261,,,,,,,,,,,,,,,,
201216EHER3,Familiarity,VeryUnfamiliar,61,121,361,481,601,661,841,961,1021,1261,1381,,,,,,,,,,,,,
201216EHER3,Familiarity,Unfamiliar,181,1081,,,,,,,,,,,,,,,,,,,,,,
201216EHER3,Familiarity,Familiar,421,1201,1321,,,,,,,,,,,,,,,,,,,,,
201216EHER3,Familiarity,VeryFamiliar,1,241,301,541,721,781,901,1141,,,,,,,,,,,,,,,,
210202LJAC1,Familiarity,VeryUnfamiliar,1,61,421,661,841,901,1321,1381,,,,,,,,,,,,,,,,
210202LJAC1,Familiarity,Unfamiliar,301,481,541,601,721,961,1141,1261,,,,,,,,,,,,,,,,
210202LJAC1,Familiarity,Familiar,181,,,,,,,,,,,,,,,,,,,,,,,
210202LJAC1,Familiarity,VeryFamiliar,121,241,361,781,1021,1081,1201,,,,,,,,,,,,,,,,,
210202LJAC3,Familiarity,VeryUnfamiliar,1,181,241,421,541,721,781,1141,1201,1261,,,,,,,,,,,,,,
210202LJAC3,Familiarity,Unfamiliar,301,481,1021,1321,,,,,,,,,,,,,,,,,,,,
210202LJAC3,Familiarity,Familiar,361,601,961,,,,,,,,,,,,,,,,,,,,,
210202LJAC3,Familiarity,VeryFamiliar,61,121,661,841,901,1081,1381,,,,,,,,,,,,,,,,,
210223ASHA1,Familiarity,VeryUnfamiliar,1,61,121,301,541,601,661,901,961,1081,1141,1201,1261,,,,,,,,,,,
210223ASHA1,Familiarity,Unfamiliar,481,781,841,1021,,,,,,,,,,,,,,,,,,,,
210223ASHA1,Familiarity,Familiar,1381,,,,,,,,,,,,,,,,,,,,,,,
210223ASHA1,Familiarity,VeryFamiliar,181,241,361,421,721,1321,,,,,,,,,,,,,,,,,,
210223ASHA3,Familiarity,VeryUnfamiliar,1,121,301,361,421,481,541,721,781,841,901,961,1141,1201,1381,,,,,,,,,
210223ASHA3,Familiarity,Unfamiliar,601,,,,,,,,,,,,,,,,,,,,,,,
210223ASHA3,Familiarity,Familiar,661,1321,,,,,,,,,,,,,,,,,,,,,,
210223ASHA3,Familiarity,VeryFamiliar,61,181,241,1021,1081,1261,,,,,,,,,,,,,,,,,,
210526GSHA1,Familiarity,VeryUnfamiliar,1,61,121,181,241,301,361,541,661,781,841,901,961,1021,1321,1381,,,,,,,,
210526GSHA1,Familiarity,Unfamiliar,481,721,,,,,,,,,,,,,,,,,,,,,,
210526GSHA1,Familiarity,VeryFamiliar,421,601,1081,1141,1201,1261,,,,,,,,,,,,,,,,,,
210526GSHA3,Familiarity,VeryUnfamiliar,61,121,181,301,361,481,601,661,721,1081,1201,1321,1381,,,,,,,,,,,
210526GSHA3,Familiarity,Unfamiliar,241,421,1021,1141,,,,,,,,,,,,,,,,,,,,
210526GSHA3,Familiarity,Familiar,901,,,,,,,,,,,,,,,,,,,,,,,
210526GSHA3,Familiarity,VeryFamiliar,1,541,781,841,961,1261,,,,,,,,,,,,,,,,,,
210616AEHR1,Familiarity,VeryUnfamiliar,301,541,601,661,841,1021,1381,,,,,,,,,,,,,,,,,
210616AEHR1,Familiarity,Unfamiliar,181,241,421,781,961,1261,,,,,,,,,,,,,,,,,,
210616AEHR1,Familiarity,Familiar,721,1081,1201,,,,,,,,,,,,,,,,,,,,,
210616AEHR1,Familiarity,VeryFamiliar,1,61,121,361,481,901,1321,,,,,,,,,,,,,,,,,
210616AEHR1,Familiarity,,1141,,,,,,,,,,,,,,,,,,,,,,,
210715ELAR1,Familiarity,VeryUnfamiliar,1,61,361,601,661,721,901,1081,1321,,,,,,,,,,,,,,,
210715ELAR1,Familiarity,Unfamiliar,181,421,481,841,1261,,,,,,,,,,,,,,,,,,,
210715ELAR1,Familiarity,Familiar,781,1141,1201,,,,,,,,,,,,,,,,,,,,,
210715ELAR1,Familiarity,VeryFamiliar,121,241,301,541,961,1021,1381,,,,,,,,,,,,,,,,,
210719BFOR1,Familiarity,VeryUnfamiliar,61,121,181,241,301,361,421,541,721,781,841,901,1021,1201,1321,1381,,,,,,,,
210719BFOR1,Familiarity,Familiar,1141,,,,,,,,,,,,,,,,,,,,,,,
210719BFOR1,Familiarity,VeryFamiliar,1,481,601,661,961,1081,1261,,,,,,,,,,,,,,,,,
210719BFOR3,Familiarity,VeryUnfamiliar,61,181,241,301,361,421,481,541,601,661,781,841,901,,,,,,,,,,,
210719BFOR3,Familiarity,Unfamiliar,1321,,,,,,,,,,,,,,,,,,,,,,,
210719BFOR3,Familiarity,Familiar,961,1201,1381,,,,,,,,,,,,,,,,,,,,,
210719BFOR3,Familiarity,VeryFamiliar,1,121,721,1021,1081,1141,1261,,,,,,,,,,,,,,,,,
211028AZHA1,Familiarity,VeryUnfamiliar,661,841,1081,1141,1261,,,,,,,,,,,,,,,,,,,
211028AZHA1,Familiarity,Unfamiliar,121,241,421,481,541,721,,,,,,,,,,,,,,,,,,
211028AZHA1,Familiarity,Familiar,61,301,361,781,901,,,,,,,,,,,,,,,,,,,
211028AZHA1,Familiarity,VeryFamiliar,1,181,601,961,1021,1201,1321,1381,,,,,,,,,,,,,,,,
211028SLEE1,Familiarity,VeryUnfamiliar,1,121,181,241,301,361,421,541,601,721,781,841,901,961,1141,1201,1321,1381,,,,,,
211028SLEE1,Familiarity,VeryFamiliar,61,481,661,1021,1081,1261,,,,,,,,,,,,,,,,,,
211103LGAR1,Familiarity,VeryUnfamiliar,121,601,961,,,,,,,,,,,,,,,,,,,,,
211103LGAR1,Familiarity,Unfamiliar,181,,,,,,,,,,,,,,,,,,,,,,,
211103LGAR1,Familiarity,Familiar,241,361,421,481,661,781,841,1021,1081,1141,1201,1261,1321,,,,,,,,,,,
211103LGAR1,Familiarity,VeryFamiliar,1,61,301,541,721,901,1381,,,,,,,,,,,,,,,,,
211104CZAL1,Familiarity,VeryUnfamiliar,61,181,421,721,781,1141,,,,,,,,,,,,,,,,,,
211104CZAL1,Familiarity,Unfamiliar,241,301,361,841,1021,1321,,,,,,,,,,,,,,,,,,
211104CZAL1,Familiarity,Familiar,901,1261,,,,,,,,,,,,,,,,,,,,,,
211104CZAL1,Familiarity,VeryFamiliar,1,121,481,541,601,661,961,1081,1201,1381,,,,,,,,,,,,,,
211118APOP1,Familiarity,VeryUnfamiliar,241,481,541,661,961,1321,,,,,,,,,,,,,,,,,,
211118APOP1,Familiarity,Unfamiliar,181,421,721,1021,1141,1201,,,,,,,,,,,,,,,,,,
211118APOP1,Familiarity,Familiar,121,301,781,901,1081,1381,,,,,,,,,,,,,,,,,,
211118APOP1,Familiarity,VeryFamiliar,1,61,361,601,841,1261,,,,,,,,,,,,,,,,,,
211118TSTA1,Familiarity,VeryUnfamiliar,181,541,661,721,901,961,1201,1381,,,,,,,,,,,,,,,,
