PPID,Type,Stim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
190716FKEE1,Stimulus,ss,181,601,661,721,841,961,,,,,,,,,,,,,,,,,,
190716FKEE1,Stimulus,fw,121,241,301,361,481,781,901,1021,1261,1321,,,,,,,,,,,,,,
190716FKEE1,Stimulus,bp,61,1081,1141,1201,,,,,,,,,,,,,,,,,,,,
190716FKEE1,Stimulus,nw,1,421,541,1381,,,,,,,,,,,,,,,,,,,,
190716FKEE3,Stimulus,ss,61,781,841,1141,1321,1381,,,,,,,,,,,,,,,,,,
190716FKEE3,Stimulus,fw,181,241,481,601,901,961,1021,1081,1201,1261,,,,,,,,,,,,,,
190716FKEE3,Stimulus,bp,121,301,361,661,,,,,,,,,,,,,,,,,,,,
190716FKEE3,Stimulus,nw,1,421,541,721,,,,,,,,,,,,,,,,,,,,
190717JSCH1,Stimulus,ss,61,181,481,841,1321,1381,,,,,,,,,,,,,,,,,,
190717JSCH1,Stimulus,fw,241,301,361,421,601,661,901,1021,1081,1261,,,,,,,,,,,,,,
190717JSCH1,Stimulus,bp,1,121,961,1201,,,,,,,,,,,,,,,,,,,,
190717JSCH1,Stimulus,nw,541,721,781,1141,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Stimulus,ss,1,301,481,541,721,1261,,,,,,,,,,,,,,,,,,
190717JSCH3,Stimulus,fw,61,121,361,601,661,901,1021,1081,1321,1381,,,,,,,,,,,,,,
190717JSCH3,Stimulus,bp,781,841,961,1141,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Stimulus,nw,181,241,421,1201,,,,,,,,,,,,,,,,,,,,
190725LGEN1,Stimulus,ss,61,121,601,901,1081,1261,,,,,,,,,,,,,,,,,,
190725LGEN1,Stimulus,fw,421,481,541,721,781,841,961,1021,1141,1381,,,,,,,,,,,,,,
190725LGEN1,Stimulus,bp,241,361,1201,1321,,,,,,,,,,,,,,,,,,,,
190725LGEN1,Stimulus,nw,1,181,301,661,,,,,,,,,,,,,,,,,,,,
190725LGEN3,Stimulus,ss,1,121,301,961,1081,1201,,,,,,,,,,,,,,,,,,
190725LGEN3,Stimulus,fw,181,241,421,481,661,721,1021,1261,1321,1381,,,,,,,,,,,,,,
190725LGEN3,Stimulus,bp,601,781,841,1141,,,,,,,,,,,,,,,,,,,,
190725LGEN3,Stimulus,nw,61,361,541,901,,,,,,,,,,,,,,,,,,,,
190904GHER1,Stimulus,ss,1,301,541,721,1081,1321,,,,,,,,,,,,,,,,,,
190904GHER1,Stimulus,fw,181,241,421,481,601,781,841,1021,1201,1261,,,,,,,,,,,,,,
190904GHER1,Stimulus,bp,661,901,961,1381,,,,,,,,,,,,,,,,,,,,
190904GHER1,Stimulus,nw,61,121,361,1141,,,,,,,,,,,,,,,,,,,,
190904GHER3,Stimulus,ss,121,181,481,601,901,1321,,,,,,,,,,,,,,,,,,
190904GHER3,Stimulus,fw,361,541,721,781,961,1021,1081,1201,1261,1381,,,,,,,,,,,,,,
190904GHER3,Stimulus,bp,1,241,421,1141,,,,,,,,,,,,,,,,,,,,
190904GHER3,Stimulus,nw,61,301,661,841,,,,,,,,,,,,,,,,,,,,
191011LDIR1,Stimulus,ss,1,421,661,1021,1261,1381,,,,,,,,,,,,,,,,,,
191011LDIR1,Stimulus,fw,61,181,541,601,781,841,901,1141,1201,1321,,,,,,,,,,,,,,
191011LDIR1,Stimulus,bp,361,481,721,1081,,,,,,,,,,,,,,,,,,,,
191011LDIR1,Stimulus,nw,121,241,301,961,,,,,,,,,,,,,,,,,,,,
191011LDIR3,Stimulus,ss,61,121,361,961,1201,1321,,,,,,,,,,,,,,,,,,
191011LDIR3,Stimulus,fw,241,301,481,661,721,841,901,1021,1261,1381,,,,,,,,,,,,,,
191011LDIR3,Stimulus,bp,541,601,1081,1141,,,,,,,,,,,,,,,,,,,,
191011LDIR3,Stimulus,nw,1,181,421,781,,,,,,,,,,,,,,,,,,,,
191113JPRE1,Stimulus,ss,421,481,541,781,1201,1321,,,,,,,,,,,,,,,,,,
191113JPRE1,Stimulus,fw,601,661,721,841,901,1021,1081,1141,1261,1381,,,,,,,,,,,,,,
191113JPRE1,Stimulus,bp,1,121,361,961,,,,,,,,,,,,,,,,,,,,
191113JPRE1,Stimulus,nw,61,181,241,301,,,,,,,,,,,,,,,,,,,,
191113JPRE3,Stimulus,ss,181,301,421,481,721,1081,,,,,,,,,,,,,,,,,,
191113JPRE3,Stimulus,fw,241,361,601,661,781,901,961,1021,1201,1321,,,,,,,,,,,,,,
191113JPRE3,Stimulus,bp,1,1141,1261,1381,,,,,,,,,,,,,,,,,,,,
191113JPRE3,Stimulus,nw,61,121,541,841,,,,,,,,,,,,,,,,,,,,
191114CWEI1,Stimulus,ss,121,241,901,961,1141,1261,,,,,,,,,,,,,,,,,,
191114CWEI1,Stimulus,fw,61,181,361,421,541,661,721,841,1081,1201,,,,,,,,,,,,,,
191114CWEI1,Stimulus,bp,1,301,1021,1321,,,,,,,,,,,,,,,,,,,,
191114CWEI1,Stimulus,nw,481,601,781,1381,,,,,,,,,,,,,,,,,,,,
191114CWEI3,Stimulus,ss,1,241,301,781,901,1141,,,,,,,,,,,,,,,,,,
191114CWEI3,Stimulus,fw,121,181,361,541,661,721,961,1081,1201,1381,,,,,,,,,,,,,,
191114CWEI3,Stimulus,bp,61,481,1021,1321,,,,,,,,,,,,,,,,,,,,
191114CWEI3,Stimulus,nw,421,601,841,1261,,,,,,,,,,,,,,,,,,,,
191204MBLO1,Stimulus,ss,1,181,481,781,1021,1381,,,,,,,,,,,,,,,,,,
191204MBLO1,Stimulus,fw,121,241,301,421,601,721,841,961,1081,1261,,,,,,,,,,,,,,
191204MBLO1,Stimulus,bp,61,661,901,1141,,,,,,,,,,,,,,,,,,,,
191204MBLO1,Stimulus,nw,361,541,1201,1321,,,,,,,,,,,,,,,,,,,,
191204MBLO3,Stimulus,ss,361,421,661,721,1261,1321,,,,,,,,,,,,,,,,,,
191204MBLO3,Stimulus,fw,1,61,121,181,241,781,961,1081,1201,1381,,,,,,,,,,,,,,
191204MBLO3,Stimulus,bp,301,481,541,841,,,,,,,,,,,,,,,,,,,,
191204MBLO3,Stimulus,nw,601,901,1021,1141,,,,,,,,,,,,,,,,,,,,
200115EROS1,Stimulus,ss,361,661,1081,1201,1261,1381,,,,,,,,,,,,,,,,,,
200115EROS1,Stimulus,fw,61,121,181,541,721,781,901,961,1141,1321,,,,,,,,,,,,,,
200115EROS1,Stimulus,bp,1,481,841,1021,,,,,,,,,,,,,,,,,,,,
200115EROS1,Stimulus,nw,241,301,421,601,,,,,,,,,,,,,,,,,,,,
200115EROS3,Stimulus,ss,181,361,901,1081,1321,1381,,,,,,,,,,,,,,,,,,
200115EROS3,Stimulus,fw,1,61,241,301,481,721,841,961,1021,1141,,,,,,,,,,,,,,
200115EROS3,Stimulus,bp,121,541,601,1201,,,,,,,,,,,,,,,,,,,,
200115EROS3,Stimulus,nw,421,661,781,1261,,,,,,,,,,,,,,,,,,,,
200116TCIE1,Stimulus,ss,241,421,661,901,1081,1261,,,,,,,,,,,,,,,,,,
200116TCIE1,Stimulus,fw,121,181,361,481,541,721,781,1021,1201,1321,,,,,,,,,,,,,,
200116TCIE1,Stimulus,bp,301,841,961,1381,,,,,,,,,,,,,,,,,,,,
200116TCIE1,Stimulus,nw,1,61,601,1141,,,,,,,,,,,,,,,,,,,,
200116TCIE3,Stimulus,ss,181,721,901,1141,1201,1321,,,,,,,,,,,,,,,,,,
200116TCIE3,Stimulus,fw,1,361,481,541,661,961,1021,1081,1261,1381,,,,,,,,,,,,,,
200116TCIE3,Stimulus,bp,121,301,601,841,,,,,,,,,,,,,,,,,,,,
200116TCIE3,Stimulus,nw,61,241,421,781,,,,,,,,,,,,,,,,,,,,
200123GCAS1,Stimulus,ss,1,121,181,481,601,781,,,,,,,,,,,,,,,,,,
200123GCAS1,Stimulus,fw,61,301,421,661,721,961,1141,1201,1261,1381,,,,,,,,,,,,,,
200123GCAS1,Stimulus,bp,361,841,901,1021,,,,,,,,,,,,,,,,,,,,
200123GCAS1,Stimulus,nw,241,541,1081,1321,,,,,,,,,,,,,,,,,,,,
200127DFAI1,Stimulus,ss,1,481,721,961,1081,1141,,,,,,,,,,,,,,,,,,
200127DFAI1,Stimulus,fw,61,121,301,361,421,601,661,841,1321,1381,,,,,,,,,,,,,,
200127DFAI1,Stimulus,bp,181,901,1201,1261,,,,,,,,,,,,,,,,,,,,
200127DFAI1,Stimulus,nw,241,541,781,1021,,,,,,,,,,,,,,,,,,,,
200127DFAI3,Stimulus,ss,121,721,781,901,1141,1261,,,,,,,,,,,,,,,,,,
200127DFAI3,Stimulus,fw,181,241,301,361,421,601,661,841,961,1081,,,,,,,,,,,,,,
200127DFAI3,Stimulus,bp,1,61,1321,1381,,,,,,,,,,,,,,,,,,,,
200127DFAI3,Stimulus,nw,481,541,1021,1201,,,,,,,,,,,,,,,,,,,,
200204JKAY1,Stimulus,ss,61,421,481,721,901,961,,,,,,,,,,,,,,,,,,
200204JKAY1,Stimulus,fw,121,541,601,661,781,1021,1141,1201,1261,1381,,,,,,,,,,,,,,
200204JKAY1,Stimulus,bp,181,241,301,1081,,,,,,,,,,,,,,,,,,,,
200204JKAY1,Stimulus,nw,1,361,841,1321,,,,,,,,,,,,,,,,,,,,
200211DCAT1,Stimulus,ss,61,241,301,661,961,1201,,,,,,,,,,,,,,,,,,
200211DCAT1,Stimulus,fw,361,721,781,841,901,1021,1081,1141,1321,1381,,,,,,,,,,,,,,
200211DCAT1,Stimulus,bp,181,421,481,541,,,,,,,,,,,,,,,,,,,,
200211DCAT1,Stimulus,nw,1,121,601,1261,,,,,,,,,,,,,,,,,,,,
200211DCAT3,Stimulus,ss,301,361,421,481,541,781,,,,,,,,,,,,,,,,,,
200211DCAT3,Stimulus,fw,61,181,661,721,841,901,961,1021,1141,1381,,,,,,,,,,,,,,
200211DCAT3,Stimulus,bp,1,241,1081,1261,,,,,,,,,,,,,,,,,,,,
200211DCAT3,Stimulus,nw,121,601,1201,1321,,,,,,,,,,,,,,,,,,,,
200213LOLE1,Stimulus,ss,241,481,661,721,841,1201,,,,,,,,,,,,,,,,,,
200213LOLE1,Stimulus,fw,1,61,121,421,781,901,961,1021,1261,1321,,,,,,,,,,,,,,
200213LOLE1,Stimulus,bp,361,541,601,1081,,,,,,,,,,,,,,,,,,,,
200213LOLE1,Stimulus,nw,181,301,1141,1381,,,,,,,,,,,,,,,,,,,,
201210SCAE1,Stimulus,ss,121,181,781,1081,1201,1261,,,,,,,,,,,,,,,,,,
201210SCAE1,Stimulus,fw,361,421,541,661,721,841,901,1021,1141,1381,,,,,,,,,,,,,,
201210SCAE1,Stimulus,bp,61,241,601,961,,,,,,,,,,,,,,,,,,,,
201210SCAE1,Stimulus,nw,1,301,481,1321,,,,,,,,,,,,,,,,,,,,
201210SCAE3,Stimulus,ss,181,241,361,421,1261,1381,,,,,,,,,,,,,,,,,,
201210SCAE3,Stimulus,fw,1,481,541,721,901,961,1021,1081,1141,1321,,,,,,,,,,,,,,
201210SCAE3,Stimulus,bp,61,121,661,1201,,,,,,,,,,,,,,,,,,,,
201210SCAE3,Stimulus,nw,301,601,781,841,,,,,,,,,,,,,,,,,,,,
201216EHER1,Stimulus,ss,61,181,661,721,901,1261,,,,,,,,,,,,,,,,,,
201216EHER1,Stimulus,fw,121,241,421,481,601,781,1021,1081,1141,1321,,,,,,,,,,,,,,
201216EHER1,Stimulus,bp,301,361,541,1381,,,,,,,,,,,,,,,,,,,,
201216EHER1,Stimulus,nw,1,841,961,1201,,,,,,,,,,,,,,,,,,,,
201216EHER3,Stimulus,ss,1,241,301,541,721,781,,,,,,,,,,,,,,,,,,
201216EHER3,Stimulus,fw,61,361,421,481,901,1081,1141,1201,1321,1381,,,,,,,,,,,,,,
201216EHER3,Stimulus,bp,181,601,661,841,,,,,,,,,,,,,,,,,,,,
201216EHER3,Stimulus,nw,121,961,1021,1261,,,,,,,,,,,,,,,,,,,,
210202LJAC1,Stimulus,ss,121,361,781,1021,1081,1201,,,,,,,,,,,,,,,,,,
210202LJAC1,Stimulus,fw,61,181,241,421,481,541,601,961,1141,1261,,,,,,,,,,,,,,
210202LJAC1,Stimulus,bp,1,661,1321,1381,,,,,,,,,,,,,,,,,,,,
210202LJAC1,Stimulus,nw,301,721,841,901,,,,,,,,,,,,,,,,,,,,
210202LJAC3,Stimulus,ss,61,121,661,841,1081,1381,,,,,,,,,,,,,,,,,,
210202LJAC3,Stimulus,fw,1,181,361,481,541,601,901,961,1021,1321,,,,,,,,,,,,,,
210202LJAC3,Stimulus,bp,721,1141,1201,1261,,,,,,,,,,,,,,,,,,,,
210202LJAC3,Stimulus,nw,241,301,421,781,,,,,,,,,,,,,,,,,,,,
210223ASHA1,Stimulus,ss,181,241,421,721,781,1321,,,,,,,,,,,,,,,,,,
210223ASHA1,Stimulus,fw,121,361,481,661,841,961,1021,1081,1141,1381,,,,,,,,,,,,,,
210223ASHA1,Stimulus,bp,61,541,1201,1261,,,,,,,,,,,,,,,,,,,,
210223ASHA1,Stimulus,nw,1,301,601,901,,,,,,,,,,,,,,,,,,,,
210223ASHA3,Stimulus,ss,61,181,661,1021,1081,1261,,,,,,,,,,,,,,,,,,
210223ASHA3,Stimulus,fw,241,301,421,481,601,901,961,1201,1321,1381,,,,,,,,,,,,,,
210223ASHA3,Stimulus,bp,121,361,541,781,,,,,,,,,,,,,,,,,,,,
210223ASHA3,Stimulus,nw,1,721,841,1141,,,,,,,,,,,,,,,,,,,,
210526GSHA1,Stimulus,ss,241,421,601,1081,1141,1201,,,,,,,,,,,,,,,,,,
210526GSHA1,Stimulus,fw,1,121,181,481,541,661,721,841,901,1261,,,,,,,,,,,,,,
210526GSHA1,Stimulus,bp,301,1021,1321,1381,,,,,,,,,,,,,,,,,,,,
210526GSHA1,Stimulus,nw,61,361,781,961,,,,,,,,,,,,,,,,,,,,
210526GSHA3,Stimulus,ss,241,541,781,841,961,1261,,,,,,,,,,,,,,,,,,
210526GSHA3,Stimulus,fw,1,61,181,421,661,721,901,1021,1081,1381,,,,,,,,,,,,,,
210526GSHA3,Stimulus,bp,121,301,481,601,,,,,,,,,,,,,,,,,,,,
210526GSHA3,Stimulus,nw,361,1141,1201,1321,,,,,,,,,,,,,,,,,,,,
210616AEHR1,Stimulus,ss,121,361,481,901,1141,1321,,,,,,,,,,,,,,,,,,
210616AEHR1,Stimulus,fw,1,61,241,301,661,721,841,961,1021,1081,,,,,,,,,,,,,,
210616AEHR1,Stimulus,bp,601,781,1261,1381,,,,,,,,,,,,,,,,,,,,
210616AEHR1,Stimulus,nw,181,421,541,1201,,,,,,,,,,,,,,,,,,,,
210715ELAR1,Stimulus,ss,241,301,541,961,1021,1381,,,,,,,,,,,,,,,,,,
210715ELAR1,Stimulus,fw,1,61,121,181,421,481,781,841,1141,1201,,,,,,,,,,,,,,
210715ELAR1,Stimulus,bp,361,601,1081,1261,,,,,,,,,,,,,,,,,,,,
210715ELAR1,Stimulus,nw,661,721,901,1321,,,,,,,,,,,,,,,,,,,,
210719BFOR1,Stimulus,ss,481,601,661,961,1081,1261,,,,,,,,,,,,,,,,,,
210719BFOR1,Stimulus,fw,1,121,361,721,781,841,901,1021,1141,1381,,,,,,,,,,,,,,
210719BFOR1,Stimulus,bp,61,181,301,541,,,,,,,,,,,,,,,,,,,,
210719BFOR1,Stimulus,nw,241,421,1201,1321,,,,,,,,,,,,,,,,,,,,
210719BFOR3,Stimulus,ss,1,121,721,1081,1141,1261,,,,,,,,,,,,,,,,,,
210719BFOR3,Stimulus,fw,241,541,601,661,841,961,1021,1201,1321,1381,,,,,,,,,,,,,,
210719BFOR3,Stimulus,bp,61,181,421,781,,,,,,,,,,,,,,,,,,,,
210719BFOR3,Stimulus,nw,301,361,481,901,,,,,,,,,,,,,,,,,,,,
211028AZHA1,Stimulus,ss,1,601,1021,1201,1321,1381,,,,,,,,,,,,,,,,,,
211028AZHA1,Stimulus,fw,61,181,241,361,481,781,841,901,961,1261,,,,,,,,,,,,,,
211028AZHA1,Stimulus,bp,121,301,661,1081,,,,,,,,,,,,,,,,,,,,
211028AZHA1,Stimulus,nw,421,541,721,1141,,,,,,,,,,,,,,,,,,,,
211028SLEE1,Stimulus,ss,61,481,661,1021,1081,1261,,,,,,,,,,,,,,,,,,
211028SLEE1,Stimulus,fw,1,181,241,301,361,421,601,721,1201,1321,,,,,,,,,,,,,,
211028SLEE1,Stimulus,bp,121,541,961,1381,,,,,,,,,,,,,,,,,,,,
211028SLEE1,Stimulus,nw,781,841,901,1141,,,,,,,,,,,,,,,,,,,,
211103LGAR1,Stimulus,ss,1,61,301,541,721,901,,,,,,,,,,,,,,,,,,
211103LGAR1,Stimulus,fw,121,241,361,421,481,841,1081,1141,1201,1381,,,,,,,,,,,,,,
211103LGAR1,Stimulus,bp,181,601,781,1261,,,,,,,,,,,,,,,,,,,,
211103LGAR1,Stimulus,nw,661,961,1021,1321,,,,,,,,,,,,,,,,,,,,
211104CZAL1,Stimulus,ss,1,541,601,961,1081,1201,,,,,,,,,,,,,,,,,,
211104CZAL1,Stimulus,fw,121,361,421,481,661,901,1021,1261,1321,1381,,,,,,,,,,,,,,
211104CZAL1,Stimulus,bp,61,181,241,1141,,,,,,,,,,,,,,,,,,,,
211104CZAL1,Stimulus,nw,301,721,781,841,,,,,,,,,,,,,,,,,,,,
211118APOP1,Stimulus,ss,1,61,361,601,841,1261,,,,,,,,,,,,,,,,,,
211118APOP1,Stimulus,fw,121,301,541,661,721,781,901,1141,1201,1381,,,,,,,,,,,,,,
211118APOP1,Stimulus,bp,181,481,961,1321,,,,,,,,,,,,,,,,,,,,
211118APOP1,Stimulus,nw,241,421,1021,1081,,,,,,,,,,,,,,,,,,,,
